example_id                                                           | status  | run_time        |
./spec/browser_benchmark_tool/cli_spec.rb[1:2:3]                     | passed  | 45.02 seconds   |
./spec/browser_benchmark_tool/cli_spec.rb[1:3:1]                     | passed  | 0.00374 seconds |
./spec/browser_benchmark_tool/cli_spec.rb[1:3:2]                     | passed  | 0.0004 seconds  |
./spec/browser_benchmark_tool/cli_spec.rb[1:3:3]                     | passed  | 0.0004 seconds  |
./spec/browser_benchmark_tool/cli_spec.rb[1:4:1]                     | passed  | 0.00017 seconds |
./spec/browser_benchmark_tool/cli_spec.rb[1:4:2]                     | passed  | 0.00058 seconds |
./spec/browser_benchmark_tool/metrics_collector_spec.rb[1:1:1]       | passed  | 0.00003 seconds |
./spec/browser_benchmark_tool/metrics_collector_spec.rb[1:2:1:1]     | passed  | 0.00004 seconds |
./spec/browser_benchmark_tool/metrics_collector_spec.rb[1:2:1:2]     | passed  | 0.01418 seconds |
./spec/browser_benchmark_tool/metrics_collector_spec.rb[1:2:1:3]     | passed  | 0.00021 seconds |
./spec/browser_benchmark_tool/metrics_collector_spec.rb[1:2:1:4]     | passed  | 0.001 seconds   |
./spec/browser_benchmark_tool/metrics_collector_spec.rb[1:2:2:1]     | passed  | 0.00493 seconds |
./spec/browser_benchmark_tool/metrics_collector_spec.rb[1:3:1:1]     | passed  | 0.03196 seconds |
./spec/browser_benchmark_tool/metrics_collector_spec.rb[1:3:1:2]     | passed  | 0.00004 seconds |
./spec/browser_benchmark_tool/metrics_collector_spec.rb[1:3:2:1]     | passed  | 0.00024 seconds |
./spec/browser_benchmark_tool/metrics_collector_spec.rb[1:4:1]       | passed  | 0.00004 seconds |
./spec/browser_benchmark_tool/metrics_collector_spec.rb[1:4:2]       | passed  | 0.00005 seconds |
./spec/browser_benchmark_tool/metrics_collector_spec.rb[1:4:3]       | passed  | 0.00004 seconds |
./spec/browser_benchmark_tool/metrics_collector_spec.rb[1:4:4]       | passed  | 0.00003 seconds |
./spec/browser_benchmark_tool/metrics_collector_spec.rb[1:5:1]       | passed  | 0.00007 seconds |
./spec/browser_benchmark_tool/metrics_collector_spec.rb[1:6:1]       | passed  | 0.00005 seconds |
./spec/browser_benchmark_tool/metrics_collector_spec.rb[1:6:2]       | passed  | 0.00005 seconds |
./spec/browser_benchmark_tool/metrics_collector_spec.rb[1:6:3]       | passed  | 0.00004 seconds |
./spec/browser_benchmark_tool/metrics_collector_spec.rb[1:7:1]       | passed  | 0.0069 seconds  |
./spec/browser_benchmark_tool/report_generator_spec.rb[1:1:1]        | passed  | 0.00059 seconds |
./spec/browser_benchmark_tool/report_generator_spec.rb[1:2:1]        | passed  | 0.00005 seconds |
./spec/browser_benchmark_tool/report_generator_spec.rb[1:2:2]        | passed  | 0.00007 seconds |
./spec/browser_benchmark_tool/report_generator_spec.rb[1:2:3]        | passed  | 0.0001 seconds  |
./spec/browser_benchmark_tool/report_generator_spec.rb[1:3:1]        | passed  | 0.00026 seconds |
./spec/browser_benchmark_tool/report_generator_spec.rb[1:4:1]        | passed  | 0.00139 seconds |
./spec/browser_benchmark_tool/report_generator_spec.rb[1:5:1]        | passed  | 0.00034 seconds |
./spec/browser_benchmark_tool/report_generator_spec.rb[1:6:1]        | passed  | 0.00139 seconds |
./spec/browser_benchmark_tool/report_generator_spec.rb[1:6:2]        | passed  | 0.00091 seconds |
./spec/browser_benchmark_tool/report_generator_spec.rb[1:7:1:1]      | passed  | 0.00272 seconds |
./spec/browser_benchmark_tool/report_generator_spec.rb[1:7:2:1]      | passed  | 0.00785 seconds |
./spec/browser_benchmark_tool/safety_manager_spec.rb[1:1:1]          | passed  | 0.00011 seconds |
./spec/browser_benchmark_tool/safety_manager_spec.rb[1:2:1]          | passed  | 0.0001 seconds  |
./spec/browser_benchmark_tool/safety_manager_spec.rb[1:2:2]          | passed  | 0.00009 seconds |
./spec/browser_benchmark_tool/safety_manager_spec.rb[1:2:3]          | passed  | 0.00011 seconds |
./spec/browser_benchmark_tool/safety_manager_spec.rb[1:3:1]          | passed  | 0.00007 seconds |
./spec/browser_benchmark_tool/safety_manager_spec.rb[1:3:2]          | passed  | 0.00011 seconds |
