level,attempted,successful,failed,error_rate,p50,p95,p99,cpu_usage,memory_usage
1,1,1,0,0.0,816.1,816.1,816.1,40.0,46.7
1,1,1,0,0.0,623.8,623.8,623.8,49.9,49.7
2,1,1,0,0.0,502.3,502.3,502.3,23.9,43.4
2,1,1,0,0.0,437.6,437.6,437.6,37.4,39.2
